U,I
282,1.2818181818181817
282,1.2818181818181817
284,1.290909090909091
286,1.3
285,1.2954545454545454
286,1.3
287,1.3045454545454545
298,1.3545454545454545
282,1.2818181818181817
289,1.3136363636363637
292,1.3272727272727274
292,1.3272727272727274
292,1.3272727272727274
293,1.3318181818181818
298,1.3545454545454545
295,1.3409090909090908
298,1.3545454545454545
300,1.3636363636363635
299,1.3590909090909091
301,1.3681818181818182
299,1.3590909090909091
302,1.3727272727272728
293,1.3318181818181818
305,1.3863636363636365
306,1.3909090909090909
305,1.3863636363636365
317,1.440909090909091
309,1.4045454545454545
312,1.4181818181818182
312,1.4181818181818182
311,1.4136363636363636
312,1.4181818181818182
306,1.3909090909090909
305,1.3863636363636365
314,1.4272727272727272
318,1.4454545454545455
309,1.4045454545454545
315,1.4318181818181819
321,1.459090909090909
322,1.4636363636363636
322,1.4636363636363636
323,1.4681818181818183
323,1.4681818181818183
324,1.4727272727272727
326,1.481818181818182
329,1.4954545454545454
328,1.490909090909091
329,1.4954545454545454
328,1.490909090909091
335,1.5227272727272727
332,1.509090909090909
333,1.5136363636363637
334,1.518181818181818
335,1.5227272727272727
337,1.5318181818181817
337,1.5318181818181817
337,1.5318181818181817
338,1.5363636363636364
340,1.5454545454545454
341,1.55
343,1.559090909090909
345,1.5681818181818181
344,1.5636363636363637
346,1.5727272727272728
343,1.559090909090909
348,1.5818181818181818
347,1.5772727272727274
349,1.5863636363636364
349,1.5863636363636364
351,1.5954545454545455
351,1.5954545454545455
354,1.6090909090909091
358,1.6272727272727272
354,1.6090909090909091
356,1.6181818181818182
357,1.6227272727272728
358,1.6272727272727272
358,1.6272727272727272
359,1.6318181818181818
361,1.6409090909090909
357,1.6227272727272728
364,1.6545454545454545
364,1.6545454545454545
363,1.65
372,1.690909090909091
354,1.6090909090909091
369,1.6772727272727272
374,1.7
370,1.6818181818181819
371,1.6863636363636363
368,1.6727272727272726
373,1.6954545454545455
373,1.6954545454545455
370,1.6818181818181819
372,1.690909090909091
376,1.709090909090909
378,1.7181818181818183
378,1.7181818181818183
381,1.731818181818182
381,1.731818181818182
371,1.6863636363636363
375,1.7045454545454546
383,1.740909090909091
384,1.7454545454545454
383,1.740909090909091
384,1.7454545454545454
389,1.768181818181818
389,1.768181818181818
387,1.759090909090909
385,1.75
391,1.7772727272727273
394,1.790909090909091
394,1.790909090909091
395,1.7954545454545454
397,1.8045454545454545
396,1.8
397,1.8045454545454545
399,1.8136363636363637
398,1.809090909090909
399,1.8136363636363637
402,1.8272727272727274
403,1.8318181818181818
402,1.8272727272727274
403,1.8318181818181818
407,1.85
406,1.8454545454545455
407,1.85
410,1.8636363636363635
414,1.8818181818181818
407,1.85
412,1.8727272727272728
413,1.8772727272727272
415,1.8863636363636365
414,1.8818181818181818
418,1.9
417,1.8954545454545455
417,1.8954545454545455
417,1.8954545454545455
419,1.9045454545454545
421,1.9136363636363636
421,1.9136363636363636
421,1.9136363636363636
421,1.9136363636363636
425,1.9318181818181819
424,1.9272727272727272
426,1.9363636363636363
428,1.9454545454545455
426,1.9363636363636363
429,1.95
433,1.9681818181818183
427,1.940909090909091
433,1.9681818181818183
428,1.9454545454545455
434,1.9727272727272727
435,1.9772727272727273
437,1.9863636363636363
437,1.9863636363636363
437,1.9863636363636363
439,1.9954545454545454
441,2.0045454545454544
441,2.0045454545454544
441,2.0045454545454544
444,2.018181818181818
442,2.0090909090909093
446,2.0272727272727273
447,2.0318181818181817
447,2.0318181818181817
449,2.040909090909091
446,2.0272727272727273
450,2.0454545454545454
453,2.059090909090909
452,2.0545454545454547
454,2.0636363636363635
455,2.0681818181818183
453,2.059090909090909
460,2.090909090909091
459,2.0863636363636364
460,2.090909090909091
460,2.090909090909091
461,2.0954545454545452
461,2.0954545454545452
463,2.1045454545454545
456,2.0727272727272728
467,2.1227272727272726
464,2.109090909090909
469,2.131818181818182
467,2.1227272727272726
469,2.131818181818182
469,2.131818181818182
470,2.1363636363636362
471,2.140909090909091
465,2.1136363636363638
467,2.1227272727272726
475,2.159090909090909
476,2.1636363636363636
476,2.1636363636363636
478,2.172727272727273
477,2.168181818181818
479,2.1772727272727272
481,2.1863636363636365
480,2.1818181818181817
483,2.1954545454545453
485,2.2045454545454546
483,2.1954545454545453
487,2.213636363636364
487,2.213636363636364
484,2.2
487,2.213636363636364
490,2.227272727272727
491,2.231818181818182
492,2.2363636363636363
491,2.231818181818182
492,2.2363636363636363
494,2.2454545454545456
495,2.25
496,2.2545454545454544
498,2.2636363636363637
500,2.272727272727273
496,2.2545454545454544
501,2.2772727272727273
502,2.2818181818181817
496,2.2545454545454544
505,2.2954545454545454
505,2.2954545454545454
505,2.2954545454545454
508,2.309090909090909
503,2.286363636363636
510,2.3181818181818183
508,2.309090909090909
501,2.2772727272727273
511,2.3227272727272728
506,2.3
511,2.3227272727272728
513,2.331818181818182
518,2.3545454545454545
518,2.3545454545454545
517,2.35
526,2.390909090909091
520,2.3636363636363638
521,2.368181818181818
522,2.3727272727272726
522,2.3727272727272726
523,2.3772727272727274
523,2.3772727272727274
524,2.381818181818182
527,2.3954545454545455
527,2.3954545454545455
529,2.4045454545454548
530,2.409090909090909
527,2.3954545454545455
530,2.409090909090909
529,2.4045454545454548
530,2.409090909090909
533,2.422727272727273
536,2.4363636363636365
536,2.4363636363636365
533,2.422727272727273
537,2.440909090909091
532,2.418181818181818
540,2.4545454545454546
540,2.4545454545454546
534,2.4272727272727272
542,2.463636363636364
546,2.481818181818182
544,2.4727272727272727
545,2.477272727272727
547,2.4863636363636363
